,total,data,ic
0,38.22267,38.09115,0.13152651
1,37.936428,37.780506,0.1559253
2,37.657166,37.474747,0.18242212
3,37.38478,37.17378,0.21100472
4,37.11921,36.877537,0.24167298
5,36.860386,36.585964,0.27442226
6,36.60829,36.29905,0.3092425
7,36.3629,36.016785,0.346115
8,36.12419,35.739178,0.38501108
9,35.892113,35.46622,0.42589194
10,35.666622,35.197914,0.4687071
11,35.447647,34.934254,0.513394
12,35.235138,34.675262,0.5598777
13,35.02903,34.420956,0.60807294
14,34.82927,34.171383,0.6578845
15,34.635807,33.926598,0.7092087
16,34.448612,33.686676,0.76193565
17,34.26764,33.45169,0.81594944
18,34.092857,33.22173,0.87112844
19,33.92422,32.99688,0.92734265
20,33.76172,32.777267,0.9844491
21,33.605286,32.563,1.0422864
22,33.454872,32.354202,1.1006708
23,33.310413,32.15102,1.159393
24,33.171795,31.953579,1.2182165
25,33.03893,31.762054,1.2768772
26,32.911644,31.576561,1.3350835
27,32.78978,31.39726,1.3925184
28,32.673107,31.224262,1.4488438
29,32.56139,31.057686,1.5037061
30,32.454357,30.897617,1.5567393
31,32.351692,30.74412,1.607573
32,32.25307,30.597237,1.655834
33,32.158142,30.45699,1.7011527
34,32.06653,30.323359,1.7431705
35,31.977852,30.196306,1.7815444
36,31.891724,30.07577,1.8159555
37,31.807764,29.961647,1.846117
38,31.725595,29.853815,1.8717803
39,31.644861,29.752117,1.8927449
40,31.565233,29.656374,1.9088597
41,31.486406,29.566376,1.9200299
42,31.408117,29.481901,1.926216
43,31.330132,29.402695,1.9274375
44,31.252264,29.328493,1.9237717
45,31.174374,29.259026,1.915348
46,31.096336,29.193987,1.9023489
47,31.018076,29.133074,1.8850014
48,30.93956,29.075987,1.8635747
49,30.860767,29.022394,1.8383727
50,30.781727,28.972,1.8097271
51,30.702446,28.924454,1.7779918
52,30.622982,28.879446,1.7435361
53,30.54339,28.836653,1.706739
54,30.463726,28.795746,1.6679816
55,30.384048,28.756405,1.6276443
56,30.304428,28.71833,1.5860991
57,30.22489,28.681181,1.5437077
